timestamp,cpu_percent,memory_percent,disk_percent
2025-09-14T03:01:50.807654,8.3,69.5,82.9
2025-09-14T03:01:52.808939,8.2,69.5,82.9
2025-09-14T03:01:54.810437,9.5,69.5,82.9
2025-09-14T03:01:56.811556,7.8,69.5,82.9
